ID_Contrato,Nome_Assessoria,Data_Envio_Assessoria,Dias_Em_Atraso_Inicial,Valor_Inadimplente_Inicial,Status_Cobranca,Score_Interno_Risco,Regiao_Cliente
CONTR_2026_00017,Vertice Asset e Cobranca,2026-03-09,52,4753.97,Insucesso,61.0,Norte
CONTR_2026_00018,Nexus Mediacao Financeira,2026-02-17,52,5911.26,Acordo Firmado,46.0,Sudeste
CONTR_2026_00019,Vertice Asset e Cobranca,2026-02-26,92,11190.59,Acordo Firmado,37.0,Sudeste
CONTR_2026_00020,Vertice Asset e Cobranca,2026-03-16,97,1972.88,Insucesso,21.0,Sul
CONTR_2026_00021,Nexus Mediacao Financeira,2026-01-22,65,2084.87,Em Aberto,89.0,Sudeste
CONTR_2026_00022,Fenix Recuperacao de Credito,2026-01-04,87,3425.48,Acordo Firmado,3.0,Sudeste
CONTR_2026_00023,Vertice Asset e Cobranca,2026-03-22,64,3048.57,Acordo Firmado,19.0,Nordeste
CONTR_2026_00024,Vertice Asset e Cobranca,2026-03-13,102,22678.77,Em Aberto,32.0,Centro-Oeste
CONTR_2026_00025,Vertice Asset e Cobranca,2026-02-15,45,5351.62,Em Aberto,79.0,Sudeste
CONTR_2026_00026,Acerta Credito Integrado,2026-02-28,94,4910.71,Acordo Firmado,24.0,Sudeste
CONTR_2026_00027,Fenix Recuperacao de Credito,2026-02-03,97,5522.27,Acordo Firmado,73.0,Sudeste
CONTR_2026_00028,Nexus Mediacao Financeira,2026-01-11,160,11603.39,Em Aberto,74.0,Sul
CONTR_2026_00029,Nexus Mediacao Financeira,2026-01-31,37,2595.58,Acordo Firmado,51.0,Nordeste
CONTR_2026_00030,Fenix Recuperacao de Credito,2026-01-11,169,4776.63,Em Aberto,96.0,Sudeste
CONTR_2026_00031,Nexus Mediacao Financeira,2026-04-30,112,2780.16,Ajuizado,58.0,Nordeste
CONTR_2026_00032,Fenix Recuperacao de Credito,2026-04-28,144,8783.75,Ajuizado,40.0,Nordeste
CONTR_2026_00033,Fenix Recuperacao de Credito,2026-02-25,117,8705.5,Acordo Firmado,7.0,Sudeste
CONTR_2026_00034,Fenix Recuperacao de Credito,2026-02-07,61,16982.99,Em Aberto,46.0,Sudeste
CONTR_2026_00035,Vertice Asset e Cobranca,2026-04-27,109,4160.38,Ajuizado,91.0,Sul
CONTR_2026_00036,Acerta Credito Integrado,2026-01-21,70,2063.74,Em Aberto,15.0,Sudeste
CONTR_2026_00037,Vertice Asset e Cobranca,2026-04-20,87,12536.62,Em Aberto,85.0,Centro-Oeste
CONTR_2026_00038,Fenix Recuperacao de Credito,2026-04-04,54,12263.84,Acordo Firmado,51.0,Sudeste
CONTR_2026_00039,Nexus Mediacao Financeira,2026-01-10,69,2537.24,Acordo Firmado,87.0,Sudeste
CONTR_2026_00040,Vertice Asset e Cobranca,2026-01-26,116,2816.68,Em Aberto,5.0,Sudeste
CONTR_2026_00041,Fenix Recuperacao de Credito,2026-04-01,103,3080.12,Acordo Firmado,59.0,Nordeste
CONTR_2026_00042,Vertice Asset e Cobranca,2026-01-08,120,4205.12,Em Aberto,70.0,Sudeste
CONTR_2026_00043,Fenix Recuperacao de Credito,2026-04-13,48,10031.72,Ajuizado,51.0,Sudeste
CONTR_2026_00044,Fenix Recuperacao de Credito,2026-01-08,33,1979.59,Insucesso,28.0,Centro-Oeste
CONTR_2026_00045,Vertice Asset e Cobranca,2026-03-01,123,7226.38,Acordo Firmado,54.0,Sudeste
CONTR_2026_00046,Nexus Mediacao Financeira,2026-03-13,120,3375.5,Em Aberto,19.0,Sudeste
CONTR_2026_00047,Vertice Asset e Cobranca,2026-04-29,96,2288.69,Em Aberto,14.0,Sul
CONTR_2026_00048,Nexus Mediacao Financeira,2026-02-03,102,3265.76,Em Aberto,48.0,Nordeste
CONTR_2026_00049,Nexus Mediacao Financeira,2026-01-16,115,5010.09,Acordo Firmado,7.0,Centro-Oeste
CONTR_2026_00050,Fenix Recuperacao de Credito,2026-04-15,95,13917.81,Acordo Firmado,79.0,Nordeste
CONTR_2026_00051,Vertice Asset e Cobranca,2026-01-13,106,6147.92,Insucesso,32.0,Sul
CONTR_2026_00052,Acerta Credito Integrado,2026-03-28,114,5870.76,Acordo Firmado,22.0,Centro-Oeste
CONTR_2026_00053,Fenix Recuperacao de Credito,2026-03-17,87,1775.6,Insucesso,46.0,Nordeste
CONTR_2026_00054,Acerta Credito Integrado,2026-04-01,79,1615.83,Ajuizado,85.0,Sudeste
CONTR_2026_00055,Nexus Mediacao Financeira,2026-01-22,9999,1893.23,Em Aberto,83.0,Centro-Oeste
CONTR_2026_00056,Fenix Recuperacao de Credito,2026-04-06,157,1702.12,Em Aberto,13.0,Norte
CONTR_2026_00057,Fenix Recuperacao de Credito,2026-04-23,64,5494.41,Acordo Firmado,22.0,Sul
CONTR_2026_00058,Fenix Recuperacao de Credito,2026-01-27,77,4213.02,Acordo Firmado,10.0,Norte
CONTR_2026_00059,Fenix Recuperacao de Credito,2026-03-05,37,1225.02,Insucesso,44.0,Norte
CONTR_2026_00060,Vertice Asset e Cobranca,2026-01-02,103,3362.13,Em Aberto,24.0,Norte
CONTR_2026_00061,Vertice Asset e Cobranca,2026-04-19,74,1881.18,Acordo Firmado,59.0,Sudeste
CONTR_2026_00062,Vertice Asset e Cobranca,2026-04-07,47,23364.28,Ajuizado,62.0,Nordeste
CONTR_2026_00063,Acerta Credito Integrado,2026-01-26,88,4282.39,Ajuizado,72.0,Sudeste
CONTR_2026_00064,Vertice Asset e Cobranca,2026-04-02,134,3976.73,Acordo Firmado,72.0,Nordeste
CONTR_2026_00065,Vertice Asset e Cobranca,2026-03-24,79,6366.57,Em Aberto,55.0,Sudeste
CONTR_2026_00066,Nexus Mediacao Financeira,2026-04-17,82,3408.78,Em Aberto,49.0,Sudeste
CONTR_2026_00067,Fenix Recuperacao de Credito,2026-03-10,133,7485.37,Em Aberto,50.0,Sul
CONTR_2026_00068,Acerta Credito Integrado,2026-04-07,89,12958.55,Acordo Firmado,19.0,Sudeste
CONTR_2026_00069,Fenix Recuperacao de Credito,2026-03-25,53,4654.72,Ajuizado,82.0,Sudeste
CONTR_2026_00070,Vertice Asset e Cobranca,2026-01-30,110,3613.81,Ajuizado,58.0,Centro-Oeste
CONTR_2026_00071,Acerta Credito Integrado,2026-04-19,123,4889.64,Ajuizado,97.0,Sudeste
CONTR_2026_00072,Fenix Recuperacao de Credito,2026-01-08,83,5826.06,Em Aberto,48.0,Sudeste
CONTR_2026_00073,Fenix Recuperacao de Credito,2026-02-07,93,10609.6,Acordo Firmado,93.0,Sul
CONTR_2026_00074,Acerta Credito Integrado,2026-03-02,50,3708.33,Insucesso,96.0,Nordeste
CONTR_2026_00075,Acerta Credito Integrado,2026-03-22,63,1464.01,Em Aberto,72.0,Nordeste
CONTR_2026_00076,Acerta Credito Integrado,2026-04-18,80,6181.19,Acordo Firmado,96.0,Sudeste
CONTR_2026_00077,Acerta Credito Integrado,2026-03-06,92,22867.41,Acordo Firmado,12.0,Sudeste
CONTR_2026_00078,Fenix Recuperacao de Credito,2026-03-08,71,10828.86,Em Aberto,86.0,Sudeste
CONTR_2026_00079,Vertice Asset e Cobranca,2026-02-15,78,8299.38,Em Aberto,20.0,Norte
CONTR_2026_00080,Fenix Recuperacao de Credito,2026-03-31,86,2170.97,Em Aberto,45.0,Sudeste
CONTR_2026_00081,Acerta Credito Integrado,2026-04-05,60,8103.93,Ajuizado,26.0,Norte
CONTR_2026_00082,Nexus Mediacao Financeira,2026-03-13,81,1624.94,Em Aberto,81.0,Nordeste
CONTR_2026_00083,Vertice Asset e Cobranca,2026-02-12,124,4605.28,Insucesso,98.0,Nordeste
CONTR_2026_00084,Fenix Recuperacao de Credito,2026-02-28,72,3517.32,Insucesso,31.0,Sudeste
CONTR_2026_00085,Vertice Asset e Cobranca,2026-02-15,62,12984.48,Insucesso,82.0,Nordeste
CONTR_2026_00086,Vertice Asset e Cobranca,2026-03-13,152,2070.79,Em Aberto,59.0,Sudeste
CONTR_2026_00087,Acerta Credito Integrado,2026-02-04,96,8976.76,Em Aberto,3.0,Centro-Oeste
CONTR_2026_00088,Nexus Mediacao Financeira,2026-02-08,66,1448.64,Em Aberto,18.0,Sul
CONTR_2026_00089,Acerta Credito Integrado,2026-04-02,109,7249.2,Insucesso,84.0,Nordeste
CONTR_2026_00090,Vertice Asset e Cobranca,2026-02-20,97,2939.13,Em Aberto,21.0,Sudeste
CONTR_2026_00091,Fenix Recuperacao de Credito,2026-01-04,72,19830.5,Acordo Firmado,57.0,Sudeste
CONTR_2026_00092,Acerta Credito Integrado,2026-03-21,88,6769.8,Acordo Firmado,99.0,Sul
CONTR_2026_00093,Acerta Credito Integrado,2026-03-18,81,3047.39,Insucesso,42.0,Nordeste
CONTR_2026_00094,Nexus Mediacao Financeira,2026-03-25,119,2542.8,Insucesso,62.0,Sudeste
CONTR_2026_00095,Acerta Credito Integrado,2026-02-20,110,6298.67,Acordo Firmado,30.0,Nordeste
CONTR_2026_00096,Vertice Asset e Cobranca,2026-01-05,25,2792.29,Acordo Firmado,61.0,Sudeste
CONTR_2026_00097,Nexus Mediacao Financeira,2026-02-24,147,2233.92,Em Aberto,36.0,Nordeste
CONTR_2026_00098,Vertice Asset e Cobranca,2026-04-11,81,6415.93,Ajuizado,55.0,Nordeste
CONTR_2026_00099,Fenix Recuperacao de Credito,2026-01-20,141,7641.97,Em Aberto,4.0,Nordeste
CONTR_2026_00100,Fenix Recuperacao de Credito,2026-01-24,111,2559.23,Em Aberto,15.0,Sul
CONTR_2026_00101,Fenix Recuperacao de Credito,2026-02-05,97,5037.98,Acordo Firmado,71.0,Nordeste
CONTR_2026_00102,Nexus Mediacao Financeira,2026-02-03,87,6647.71,Em Aberto,96.0,Sudeste
CONTR_2026_00103,Vertice Asset e Cobranca,2026-04-19,172,15429.39,Acordo Firmado,97.0,Sudeste
CONTR_2026_00104,Nexus Mediacao Financeira,2026-04-22,81,9333.77,Em Aberto,57.0,Sul
CONTR_2026_00105,Fenix Recuperacao de Credito,2026-02-23,69,3930.67,Ajuizado,63.0,Nordeste
CONTR_2026_00106,Fenix Recuperacao de Credito,2026-02-03,72,10502.57,Acordo Firmado,77.0,Nordeste
CONTR_2026_00107,Vertice Asset e Cobranca,2026-03-24,90,4114.24,Em Aberto,64.0,Nordeste
CONTR_2026_00108,Acerta Credito Integrado,2026-01-17,89,1897.04,Ajuizado,17.0,Sudeste
CONTR_2026_00109,Fenix Recuperacao de Credito,2026-01-05,120,3285.92,Ajuizado,53.0,Sudeste
CONTR_2026_00110,Fenix Recuperacao de Credito,2026-03-30,112,9366.71,Insucesso,40.0,Sudeste
CONTR_2026_00111,Vertice Asset e Cobranca,2026-01-18,112,16795.69,Acordo Firmado,70.0,Centro-Oeste
CONTR_2026_00112,Fenix Recuperacao de Credito,2026-02-24,83,21747.42,Insucesso,50.0,Nordeste
CONTR_2026_00113,Fenix Recuperacao de Credito,2026-02-22,110,6295.7,Acordo Firmado,68.0,Sudeste
CONTR_2026_00114,Acerta Credito Integrado,2026-02-19,113,4453.71,Acordo Firmado,15.0,Sudeste
CONTR_2026_00115,Nexus Mediacao Financeira,2026-03-13,87,2084.03,Acordo Firmado,72.0,Sudeste
CONTR_2026_00116,Acerta Credito Integrado,2026-04-01,98,1740.85,Acordo Firmado,34.0,Nordeste
CONTR_2026_00117,Acerta Credito Integrado,2026-03-20,113,4854.27,Em Aberto,30.0,Nordeste
CONTR_2026_00118,Fenix Recuperacao de Credito,2026-02-14,96,7705.71,Acordo Firmado,87.0,Sudeste
CONTR_2026_00119,Acerta Credito Integrado,2026-01-13,99,3157.23,Acordo Firmado,73.0,Nordeste
CONTR_2026_00120,Nexus Mediacao Financeira,2026-01-16,132,6814.68,Acordo Firmado,24.0,Sul
CONTR_2026_00121,Acerta Credito Integrado,2026-03-27,96,5429.28,Acordo Firmado,8.0,Sudeste
CONTR_2026_00122,Acerta Credito Integrado,2026-03-25,71,15329.85,Em Aberto,57.0,Sudeste
CONTR_2026_00123,Vertice Asset e Cobranca,2026-01-13,49,2375.81,Em Aberto,70.0,Nordeste
CONTR_2026_00124,Fenix Recuperacao de Credito,2026-01-20,93,5670.92,Em Aberto,25.0,Nordeste
CONTR_2026_00125,Fenix Recuperacao de Credito,2026-03-07,80,3870.44,Acordo Firmado,77.0,Nordeste
CONTR_2026_00126,Vertice Asset e Cobranca,2026-04-09,114,2716.18,Acordo Firmado,34.0,Sul
CONTR_2026_00127,Acerta Credito Integrado,2026-02-16,137,3410.33,Ajuizado,25.0,Sudeste
CONTR_2026_00128,Acerta Credito Integrado,2026-04-29,59,2944.49,Em Aberto,18.0,Nordeste
CONTR_2026_00129,Fenix Recuperacao de Credito,2026-01-19,63,4950.16,Acordo Firmado,73.0,Sul
CONTR_2026_00130,Nexus Mediacao Financeira,2026-02-14,89,5282.84,Acordo Firmado,97.0,Nordeste
CONTR_2026_00131,Vertice Asset e Cobranca,2026-02-06,66,11232.45,Insucesso,70.0,Nordeste
CONTR_2026_00132,Fenix Recuperacao de Credito,2026-02-23,83,8800.4,Insucesso,14.0,Sul
CONTR_2026_00133,Fenix Recuperacao de Credito,2026-01-06,73,3001.37,Insucesso,6.0,Nordeste
CONTR_2026_00134,Vertice Asset e Cobranca,2026-01-14,59,14591.87,Acordo Firmado,82.0,Nordeste
CONTR_2026_00135,Fenix Recuperacao de Credito,2026-01-04,114,11338.15,Acordo Firmado,90.0,Sudeste
CONTR_2026_00136,Vertice Asset e Cobranca,2026-03-27,92,6115.67,Acordo Firmado,36.0,Centro-Oeste
CONTR_2026_00137,Nexus Mediacao Financeira,2026-04-25,144,1294.02,Em Aberto,36.0,Nordeste
CONTR_2026_00138,Acerta Credito Integrado,2026-02-24,100,2373.15,Insucesso,75.0,Nordeste
CONTR_2026_00139,Vertice Asset e Cobranca,2026-04-13,128,8987.06,Em Aberto,18.0,Norte
CONTR_2026_00140,Vertice Asset e Cobranca,2026-04-10,68,4223.49,Ajuizado,15.0,Sudeste
CONTR_2026_00141,Vertice Asset e Cobranca,2026-02-03,67,1873.09,Em Aberto,94.0,Nordeste
CONTR_2026_00142,Vertice Asset e Cobranca,2026-01-27,156,3823.44,Acordo Firmado,89.0,Nordeste
CONTR_2026_00143,Vertice Asset e Cobranca,2026-01-07,71,2390.67,Ajuizado,16.0,Sudeste
CONTR_2026_00144,Vertice Asset e Cobranca,2026-01-03,61,12354.46,Em Aberto,76.0,Nordeste
CONTR_2026_00145,Vertice Asset e Cobranca,2026-02-16,54,12202.78,Em Aberto,14.0,Sudeste
CONTR_2026_00146,Fenix Recuperacao de Credito,2026-04-07,147,3647.46,Insucesso,51.0,Sudeste
CONTR_2026_00147,Nexus Mediacao Financeira,2026-01-02,81,1938.98,Em Aberto,54.0,Sul
CONTR_2026_00148,Nexus Mediacao Financeira,2026-04-16,-999,3422.31,Ajuizado,58.0,Nordeste
CONTR_2026_00149,Fenix Recuperacao de Credito,2026-03-21,94,1889.07,Insucesso,77.0,Sudeste
CONTR_2026_00150,Vertice Asset e Cobranca,2026-01-25,68,3012.36,Acordo Firmado,30.0,Centro-Oeste
CONTR_2026_00151,Fenix Recuperacao de Credito,2026-03-01,81,8574.13,Acordo Firmado,100.0,Nordeste
CONTR_2026_00152,Fenix Recuperacao de Credito,2026-03-20,115,2926.18,Insucesso,46.0,Nordeste
CONTR_2026_00153,Fenix Recuperacao de Credito,2026-01-24,53,5128.53,Acordo Firmado,16.0,Sudeste
CONTR_2026_00154,Vertice Asset e Cobranca,2026-01-15,110,1832.77,Insucesso,1.0,Nordeste
CONTR_2026_00155,Vertice Asset e Cobranca,2026-04-05,133,3335.68,Em Aberto,41.0,Centro-Oeste
CONTR_2026_00156,Fenix Recuperacao de Credito,2026-01-14,98,1402.22,Em Aberto,93.0,Sul
CONTR_2026_00157,Nexus Mediacao Financeira,2026-02-23,130,5172.23,Insucesso,27.0,Sudeste
CONTR_2026_00158,Acerta Credito Integrado,2026-03-19,48,3335.66,Em Aberto,77.0,Sul
CONTR_2026_00159,Fenix Recuperacao de Credito,2026-01-06,35,11478.78,Em Aberto,62.0,Nordeste
CONTR_2026_00160,Acerta Credito Integrado,2026-03-19,97,3692.45,Acordo Firmado,81.0,Sul
CONTR_2026_00161,Vertice Asset e Cobranca,2026-03-22,72,5279.68,Em Aberto,28.0,Sul
CONTR_2026_00162,Nexus Mediacao Financeira,2026-01-18,116,19984.53,Em Aberto,51.0,Nordeste
CONTR_2026_00163,Nexus Mediacao Financeira,2026-01-20,80,6345.98,Em Aberto,55.0,Sudeste
CONTR_2026_00164,Nexus Mediacao Financeira,2026-04-25,94,4670.46,Em Aberto,51.0,Norte
CONTR_2026_00165,Fenix Recuperacao de Credito,2026-03-03,92,1716.4,Em Aberto,69.0,Norte
CONTR_2026_00166,Acerta Credito Integrado,2026-03-22,93,9800.85,Ajuizado,88.0,Sudeste
CONTR_2026_00167,Vertice Asset e Cobranca,2026-03-21,73,6341.47,Em Aberto,73.0,Sudeste
CONTR_2026_00168,Fenix Recuperacao de Credito,2026-02-09,49,1774.39,Em Aberto,97.0,Nordeste
CONTR_2026_00169,Fenix Recuperacao de Credito,2026-02-08,83,2609.62,Acordo Firmado,34.0,Sudeste
CONTR_2026_00170,Nexus Mediacao Financeira,2026-02-21,133,5057.14,Acordo Firmado,27.0,Sul
CONTR_2026_00171,Nexus Mediacao Financeira,2026-02-01,71,1430.55,Ajuizado,97.0,Nordeste
CONTR_2026_00172,Fenix Recuperacao de Credito,2026-04-18,71,7534.74,Em Aberto,38.0,Sul
CONTR_2026_00173,Nexus Mediacao Financeira,2026-03-14,94,2492.52,Em Aberto,29.0,Centro-Oeste
CONTR_2026_00174,Fenix Recuperacao de Credito,2026-01-27,54,4563.89,Em Aberto,35.0,Sul
CONTR_2026_00175,Nexus Mediacao Financeira,2026-04-20,120,2583.01,Acordo Firmado,20.0,Nordeste
CONTR_2026_00176,Fenix Recuperacao de Credito,2026-02-21,57,4558.76,Insucesso,19.0,Sul
CONTR_2026_00177,Nexus Mediacao Financeira,2026-04-07,81,2251.62,Acordo Firmado,5.0,Nordeste
CONTR_2026_00178,Vertice Asset e Cobranca,2026-03-04,166,5706.03,Em Aberto,25.0,Nordeste
CONTR_2026_00179,Fenix Recuperacao de Credito,2026-03-15,55,13262.38,Insucesso,93.0,Sul
CONTR_2026_00180,Fenix Recuperacao de Credito,2026-03-04,134,9434.04,Acordo Firmado,26.0,Sul
CONTR_2026_00181,Vertice Asset e Cobranca,2026-01-17,93,2582.2,Acordo Firmado,51.0,Nordeste
CONTR_2026_00182,Fenix Recuperacao de Credito,2026-04-23,97,4646.87,Insucesso,66.0,Norte
CONTR_2026_00183,Fenix Recuperacao de Credito,2026-02-18,65,3950.5,Insucesso,61.0,Nordeste
CONTR_2026_00184,Acerta Credito Integrado,2026-04-10,113,18030.38,Em Aberto,15.0,Sudeste
CONTR_2026_00185,Vertice Asset e Cobranca,2026-03-22,79,9217.8,Acordo Firmado,45.0,Centro-Oeste
CONTR_2026_00186,Nexus Mediacao Financeira,2026-03-23,55,1768.24,Em Aberto,6.0,Sudeste
CONTR_2026_00187,Acerta Credito Integrado,2026-04-26,133,2122.94,Acordo Firmado,58.0,Sudeste
CONTR_2026_00188,Nexus Mediacao Financeira,2026-01-23,78,7253.79,Em Aberto,1.0,Nordeste
CONTR_2026_00189,Nexus Mediacao Financeira,2026-04-08,34,2070.92,Em Aberto,73.0,Nordeste
CONTR_2026_00190,Fenix Recuperacao de Credito,2026-03-13,81,16225.74,Acordo Firmado,43.0,Nordeste
CONTR_2026_00191,Fenix Recuperacao de Credito,2026-01-13,114,25971.4,Em Aberto,16.0,Sudeste
CONTR_2026_00192,Acerta Credito Integrado,2026-01-23,109,8733.75,Em Aberto,14.0,Sudeste
CONTR_2026_00193,Fenix Recuperacao de Credito,2026-02-26,70,1335.83,Em Aberto,74.0,Sul
CONTR_2026_00194,Nexus Mediacao Financeira,2026-03-03,60,4495.92,Em Aberto,19.0,Nordeste
CONTR_2026_00195,Vertice Asset e Cobranca,2026-02-23,49,3805.05,Ajuizado,51.0,Sul
CONTR_2026_00196,Vertice Asset e Cobranca,2026-01-20,89,9235.59,Insucesso,8.0,Sudeste
CONTR_2026_00197,Acerta Credito Integrado,2026-03-27,94,2891.43,Ajuizado,48.0,Sudeste
CONTR_2026_00198,Acerta Credito Integrado,2026-04-21,111,3639.83,Acordo Firmado,12.0,Nordeste
CONTR_2026_00199,Acerta Credito Integrado,2026-02-21,85,1690.83,Acordo Firmado,70.0,Nordeste
CONTR_2026_00200,Acerta Credito Integrado,2026-01-23,84,3297.59,Ajuizado,35.0,Sul
CONTR_2026_00201,Nexus Mediacao Financeira,2026-04-15,81,19420.27,Em Aberto,70.0,Nordeste
CONTR_2026_00202,Fenix Recuperacao de Credito,2026-02-04,94,15449.5,Acordo Firmado,6.0,Nordeste
CONTR_2026_00203,Fenix Recuperacao de Credito,2026-03-08,85,8136.66,Em Aberto,99.0,Norte
CONTR_2026_00204,Acerta Credito Integrado,2026-02-03,118,13089.97,Em Aberto,11.0,Nordeste
CONTR_2026_00205,Nexus Mediacao Financeira,2026-02-02,99,2386.03,Ajuizado,38.0,Nordeste
CONTR_2026_00206,Fenix Recuperacao de Credito,2026-02-15,93,6062.08,Insucesso,91.0,Sudeste
CONTR_2026_00207,Fenix Recuperacao de Credito,2026-03-22,88,4665.46,Em Aberto,26.0,Sudeste
CONTR_2026_00208,Nexus Mediacao Financeira,2026-02-14,61,3946.88,Em Aberto,51.0,Sudeste
CONTR_2026_00209,Fenix Recuperacao de Credito,2026-01-19,89,3163.99,Em Aberto,72.0,Nordeste
CONTR_2026_00210,Fenix Recuperacao de Credito,2026-04-04,70,11261.52,Insucesso,89.0,Sudeste
CONTR_2026_00211,Nexus Mediacao Financeira,2026-03-28,100,4513.14,Insucesso,83.0,Sudeste
CONTR_2026_00212,Nexus Mediacao Financeira,2026-01-15,83,7637.38,Ajuizado,80.0,Sudeste
CONTR_2026_00213,Nexus Mediacao Financeira,2026-03-19,139,7320.03,Ajuizado,50.0,Sul
CONTR_2026_00214,Fenix Recuperacao de Credito,2026-03-07,52,1931.32,Em Aberto,58.0,Nordeste
CONTR_2026_00215,Acerta Credito Integrado,2026-02-08,15,1450.87,Acordo Firmado,26.0,Sudeste
CONTR_2026_00216,Fenix Recuperacao de Credito,2026-04-23,98,10361.76,Em Aberto,44.0,Centro-Oeste
CONTR_2026_00217,Vertice Asset e Cobranca,2026-01-18,70,4569.86,Insucesso,51.0,Norte
CONTR_2026_00218,Acerta Credito Integrado,2026-03-11,94,9505.91,Acordo Firmado,76.0,Sudeste
CONTR_2026_00219,Nexus Mediacao Financeira,2026-02-28,52,2962.46,Em Aberto,24.0,Sudeste
CONTR_2026_00220,Acerta Credito Integrado,2026-02-01,147,11096.42,Em Aberto,77.0,Sul
CONTR_2026_00221,Nexus Mediacao Financeira,2026-01-21,78,10083.97,Em Aberto,59.0,Nordeste
CONTR_2026_00222,Nexus Mediacao Financeira,2026-02-09,68,3603.68,Em Aberto,57.0,Sudeste
CONTR_2026_00223,Fenix Recuperacao de Credito,2026-04-02,146,3852.57,Acordo Firmado,17.0,Nordeste
CONTR_2026_00224,Vertice Asset e Cobranca,2026-01-27,115,3360.78,Insucesso,77.0,Sudeste
CONTR_2026_00225,Vertice Asset e Cobranca,2026-01-02,131,1377.22,Insucesso,51.0,Sul
CONTR_2026_00226,Fenix Recuperacao de Credito,2026-04-07,84,7018.32,Em Aberto,1.0,Nordeste
CONTR_2026_00227,Vertice Asset e Cobranca,2026-03-21,91,2792.3,Acordo Firmado,11.0,Sul
CONTR_2026_00228,Vertice Asset e Cobranca,2026-02-08,72,11971.42,Em Aberto,20.0,Nordeste
CONTR_2026_00229,Acerta Credito Integrado,2026-03-27,68,12583.47,Em Aberto,31.0,Nordeste
CONTR_2026_00230,Nexus Mediacao Financeira,2026-02-25,101,7611.1,Acordo Firmado,99.0,Sul
CONTR_2026_00231,Acerta Credito Integrado,2026-04-17,78,2201.8,Ajuizado,39.0,Nordeste
CONTR_2026_00232,Nexus Mediacao Financeira,2026-04-21,156,1667.67,Em Aberto,63.0,Sudeste
CONTR_2026_00233,Nexus Mediacao Financeira,2026-01-13,115,9676.25,Insucesso,6.0,Nordeste
CONTR_2026_00234,Vertice Asset e Cobranca,2026-02-25,146,12377.72,Acordo Firmado,99.0,Nordeste
CONTR_2026_00235,Fenix Recuperacao de Credito,2026-03-07,23,3369.62,Acordo Firmado,28.0,Sudeste
CONTR_2026_00236,Acerta Credito Integrado,2026-03-19,146,3376.7,Em Aberto,51.0,Nordeste
CONTR_2026_00237,Vertice Asset e Cobranca,2026-02-25,18,3673.74,Acordo Firmado,53.0,Sudeste
CONTR_2026_00238,Fenix Recuperacao de Credito,2026-04-12,52,9990.34,Em Aberto,44.0,Centro-Oeste
CONTR_2026_00239,Nexus Mediacao Financeira,2026-04-15,37,7339.14,Acordo Firmado,65.0,Centro-Oeste
CONTR_2026_00240,Fenix Recuperacao de Credito,2026-01-28,97,1850.41,Acordo Firmado,80.0,Centro-Oeste
CONTR_2026_00241,Fenix Recuperacao de Credito,2026-03-05,89,6235.05,Em Aberto,12.0,Nordeste
CONTR_2026_00242,Vertice Asset e Cobranca,2026-03-12,113,1249.13,Acordo Firmado,28.0,Sul
CONTR_2026_00243,Fenix Recuperacao de Credito,2026-03-23,87,7396.03,Acordo Firmado,51.0,Sul
CONTR_2026_00244,Vertice Asset e Cobranca,2026-03-05,126,8433.03,Ajuizado,72.0,Centro-Oeste
CONTR_2026_00245,Fenix Recuperacao de Credito,2026-02-25,62,9635.6,Ajuizado,68.0,Nordeste
